,userid,number_of_courses,average_marks,average_login,weekend_login,weekday_login,midnight_login,early_morning_login,late_morning_login,afternoon_login,evening_login,night_login,no_of_viewed_courses,no_of_attendance_taken,no_of_all_files_downloaded,no_of_assignments,no_of_forum_created,number_of_quizzes,no_of_quizzes_completed,no_of_quizzes_attempt
159,1362.0,4.0,84.6175,10.0,3.25,6.75,4.0,2.25,0.5,3.0,0.0,0.25,81.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0
160,1363.0,4.0,87.475,29.25,5.25,24.0,7.0,14.0,3.0,4.5,0.75,0.0,110.0,0.0,0.75,1.0,0.0,0.25,0.0,0.0
161,1364.0,5.0,69.506,12.8,0.2,12.6,3.4,2.2,2.8,3.2,0.0,1.2,34.4,0.0,0.0,0.8,0.0,5.0,1.2,36.2
162,1365.0,4.0,86.175,14.5,2.25,12.25,6.5,3.75,0.25,3.5,0.5,0.0,55.5,0.0,4.25,2.25,0.0,0.0,0.0,0.0
163,1366.0,3.0,80.16666666666667,6.0,0.6666666666666666,5.333333333333333,1.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,0.6666666666666666,0.0,17.666666666666668,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
164,1367.0,4.0,78.3125,12.5,1.5,11.0,4.0,4.25,1.25,2.5,0.5,0.0,56.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0
165,1368.0,4.0,78.975,14.75,1.25,13.5,3.5,4.75,2.0,4.25,0.25,0.0,48.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0
166,1369.0,5.0,77.02000000000001,10.0,2.2,7.8,1.0,2.6,1.6,2.4,1.4,1.0,25.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
167,1370.0,4.0,72.9,8.25,0.75,7.5,4.25,0.75,1.0,1.25,0.0,1.0,22.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
168,1372.0,1.0,88.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,1373.0,2.0,81.625,32.5,2.5,30.0,7.0,11.0,4.5,8.5,0.0,1.5,97.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0
170,1374.0,4.0,76.625,19.75,2.5,17.25,3.0,8.75,2.25,5.25,0.25,0.25,58.75,0.0,0.25,1.0,0.0,0.0,0.0,0.0
171,1376.0,3.0,82.33333333333333,15.0,1.6666666666666667,13.333333333333334,4.666666666666667,6.0,0.3333333333333333,4.0,0.0,0.0,41.333333333333336,0.0,0.0,2.0,0.0,0.0,0.0,0.0
172,1377.0,4.0,78.125,19.25,3.75,15.5,5.0,4.5,3.75,5.75,0.25,0.0,55.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0
173,1379.0,5.0,83.666,17.2,1.8,15.4,7.2,4.4,1.4,1.8,0.0,2.4,61.6,0.0,0.0,0.2,0.0,8.4,1.0,48.2
174,1380.0,3.0,79.0,5.666666666666667,0.6666666666666666,5.0,0.6666666666666666,1.0,1.6666666666666667,1.0,1.3333333333333333,0.0,14.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
175,1381.0,6.0,83.72166666666666,7.166666666666667,1.3333333333333333,5.833333333333333,1.5,1.0,0.8333333333333334,3.5,0.1666666666666666,0.1666666666666666,21.33333333333333,0.0,0.0,1.1666666666666667,0.0,1.3333333333333333,0.3333333333333333,3.333333333333333
176,1383.0,7.0,69.68857142857142,19.285714285714285,4.142857142857143,15.142857142857142,7.142857142857143,5.714285714285714,2.0,3.7142857142857135,0.5714285714285714,0.1428571428571428,54.85714285714285,0.0,0.0,1.0,0.0,0.0,0.0,0.0
177,1385.0,2.0,39.5,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
